,NORMA OFICIAL MEXICANA VERIFICADA,TIPO DE PRODUCTO,RAZON SOCIAL VISITADA,GIRO COMERCIAL,ENTIDAD,CUMPLIO?
967,NOM-008-SCFI-2002,BASCULA,MOLINO Y TORTILLERIA LA ESTRELLA,TORTILLERIA,DISTRITO FEDERAL,True
968,NOM-010-SCFI-1994,BASCULA,MOLINO Y TORTILLERIA LA ESTRELLA,TORTILLERIA,DISTRITO FEDERAL,True
969,NOM-008-SCFI-2002,BASCULA,TORTILLERIA 5 DE FEBRERO,TORTILLERIA,DISTRITO FEDERAL,True
970,NOM-010-SCFI-1994,BASCULA,TORTILLERIA 5 DE FEBRERO,TORTILLERIA,DISTRITO FEDERAL,True
971,NOM-008-SCFI-2002,BASCULA,SEVERIANO ROSETE LUCAS,TORTILLERIA,DISTRITO FEDERAL,True
972,NOM-010-SCFI-1994,BASCULA,SEVERIANO ROSETE LUCAS,TORTILLERIA,DISTRITO FEDERAL,True
973,NOM-008-SCFI-2002,BASCULA,ALICIA VIVEROS HURTADO,TORTILLERIA,DISTRITO FEDERAL,True
974,NOM-010-SCFI-1994,BASCULA,ALICIA VIVEROS HURTADO,TORTILLERIA,DISTRITO FEDERAL,True
975,NOM-008-SCFI-2002,BASCULA,TORTILLERIA BELEM,TORTILLERIA,DISTRITO FEDERAL,True
976,NOM-010-SCFI-1994,BASCULA,TORTILLERIA BELEM,TORTILLERIA,DISTRITO FEDERAL,True
977,NOM-008-SCFI-2002,BASCULA,TORTILLERIA  Y/O MARIA BEGOÑA MARTINEZ GIL,TORTILLERIA,DISTRITO FEDERAL,True
978,NOM-010-SCFI-1994,BASCULA,TORTILLERIA  Y/O MARIA BEGOÑA MARTINEZ GIL,TORTILLERIA,DISTRITO FEDERAL,True
979,NOM-008-SCFI-2002,BASCULA,TORTILLERIA LA GUIA,TORTILLERIA,DISTRITO FEDERAL,True
980,NOM-010-SCFI-1994,BASCULA,TORTILLERIA LA GUIA,TORTILLERIA,DISTRITO FEDERAL,True
981,NOM-008-SCFI-2002,BASCULA,TORTILLERIA LAS TARASCAS Y/O CELINA CANO GAZCON,TORTILLERIA,DISTRITO FEDERAL,True
982,NOM-010-SCFI-1994,BASCULA,TORTILLERIA LAS TARASCAS Y/O CELINA CANO GAZCON,TORTILLERIA,DISTRITO FEDERAL,True
983,NOM-008-SCFI-2002,BASCULA,TORTILLERIA CRUZ Y/O CRUZ LOPEZ VILCHIS,TORTILLERIA,DISTRITO FEDERAL,True
984,NOM-010-SCFI-1994,BASCULA,TORTILLERIA CRUZ Y/O CRUZ LOPEZ VILCHIS,TORTILLERIA,DISTRITO FEDERAL,True
985,NOM-008-SCFI-2002,BASCULA,TORTILLERIA LORIAN Y/O RAMIRO PONCE ALMONTE,TORTILLERIA,DISTRITO FEDERAL,True
986,NOM-010-SCFI-1994,BASCULA,TORTILLERIA LORIAN Y/O RAMIRO PONCE ALMONTE,TORTILLERIA,DISTRITO FEDERAL,True
987,NOM-008-SCFI-2002,BASCULA,TORTILLERIA SIN NOMBRE Y/O LUIS CABRERA SANCHEZ,TORTILLERIA,DISTRITO FEDERAL,True
988,NOM-010-SCFI-1994,BASCULA,TORTILLERIA SIN NOMBRE Y/O LUIS CABRERA SANCHEZ,TORTILLERIA,DISTRITO FEDERAL,True
989,NOM-008-SCFI-2002,BASCULA,DISTRIBUIDORA  DE CARNES  IDEAL,CARNICERIA,DISTRITO FEDERAL,True
990,NOM-010-SCFI-1994,BASCULA,DISTRIBUIDORA  DE CARNES  IDEAL,CARNICERIA,DISTRITO FEDERAL,True
993,NOM-008-SCFI-2002,BASCULA,CARNICERIA  LA MEJOR,CARNICERIA,DISTRITO FEDERAL,True
994,NOM-010-SCFI-1994,BASCULA,CARNICERIA  LA MEJOR,CARNICERIA,DISTRITO FEDERAL,True
995,NOM-008-SCFI-2002,BASCULA,CARNICERIA SIN NOMBRE  Y/O GETULIO OROZCO GARCIA,CARNICERIA,DISTRITO FEDERAL,True
996,NOM-010-SCFI-1994,BASCULA,CARNICERIA SIN NOMBRE  Y/O GETULIO OROZCO GARCIA,CARNICERIA,DISTRITO FEDERAL,True
997,NOM-008-SCFI-2002,BASCULA,CARNICERIA SIN NOMBRE   JULIO ZARATE CRUZ,CARNICERIA,DISTRITO FEDERAL,True
998,NOM-010-SCFI-1994,BASCULA,CARNICERIA SIN NOMBRE   JULIO ZARATE CRUZ,CARNICERIA,DISTRITO FEDERAL,True
999,NOM-008-SCFI-2002,BASCULA,CARNICERIA Y TOCINERIA EL REY   REYNALDO ACOSTA GUZMAN,CARNICERIA,DISTRITO FEDERAL,True
1000,NOM-010-SCFI-1994,BASCULA,CARNICERIA Y TOCINERIA EL REY   REYNALDO ACOSTA GUZMAN,CARNICERIA,DISTRITO FEDERAL,True
1001,NOM-008-SCFI-2002,BASCULA,ADRIANA MORENO NUÑEZ,CARNICERIA,DISTRITO FEDERAL,True
1002,NOM-010-SCFI-1994,BASCULA,ADRIANA MORENO NUÑEZ,CARNICERIA,DISTRITO FEDERAL,True
1003,NOM-008-SCFI-2002,BASCULA,CATALINA SOTO RIVERA,CARNICERIA,DISTRITO FEDERAL,True
1004,NOM-010-SCFI-1994,BASCULA,CATALINA SOTO RIVERA,CARNICERIA,DISTRITO FEDERAL,True
1005,NOM-008-SCFI-2002,BASCULA,TERNERA   CARNICERIA    ANTONIO GARCIA QUIROZ,CARNICERIA,DISTRITO FEDERAL,True
1006,NOM-010-SCFI-1994,BASCULA,TERNERA   CARNICERIA    ANTONIO GARCIA QUIROZ,CARNICERIA,DISTRITO FEDERAL,True
1007,NOM-008-SCFI-2002,BASCULA,CARNICERIA  LA MODERNA  ROBERTO  JUAREZ LLAMAS,CARNICERIA,DISTRITO FEDERAL,True
1008,NOM-010-SCFI-1994,BASCULA,CARNICERIA  LA MODERNA  ROBERTO  JUAREZ LLAMAS,CARNICERIA,DISTRITO FEDERAL,True
1015,NOM-008-SCFI-2002,BASCULA,POLLERIA SIN NOMBRE Y/O BEATRIZ PEREZ GARCIA,POLLERIA,DISTRITO FEDERAL,True
1016,NOM-010-SCFI-1994,BASCULA,POLLERIA SIN NOMBRE Y/O BEATRIZ PEREZ GARCIA,POLLERIA,DISTRITO FEDERAL,True
1019,NOM-008-SCFI-2002,BASCULA,TORTILLERIA GRANO MIXTECO Y/O ERASMO BENITEZ RINCON,TORTILLERIA,DISTRITO FEDERAL,True
1020,NOM-010-SCFI-1994,BASCULA,TORTILLERIA GRANO MIXTECO Y/O ERASMO BENITEZ RINCON,TORTILLERIA,DISTRITO FEDERAL,True
1021,NOM-008-SCFI-2002,BASCULA,TORTILLERIA LUPITA Y/O JESSICA FERNANDEZ CAMARGO,TORTILLERIA,DISTRITO FEDERAL,True
1022,NOM-010-SCFI-1994,BASCULA,TORTILLERIA LUPITA Y/O JESSICA FERNANDEZ CAMARGO,TORTILLERIA,DISTRITO FEDERAL,True
1023,NOM-008-SCFI-2002,BASCULA,TORTILLERIA  5 DE FEBRERO,TORTILLERIA,DISTRITO FEDERAL,True
1024,NOM-010-SCFI-1994,BASCULA,TORTILLERIA  5 DE FEBRERO,TORTILLERIA,DISTRITO FEDERAL,True
1025,NOM-008-SCFI-2002,BASCULA,TORTILLERIA LA COMERCIAL Y/O RAQUEL GALVEZ OLVERA,TORTILLERIA,DISTRITO FEDERAL,True
1026,NOM-010-SCFI-1994,BASCULA,TORTILLERIA LA COMERCIAL Y/O RAQUEL GALVEZ OLVERA,TORTILLERIA,DISTRITO FEDERAL,True
1027,NOM-008-SCFI-2002,BASCULA,TORTILLERIA LA COMERCIAL Y/O JIMENEZ ALCAIDE MOISES GONZALO,TORTILLERIA,DISTRITO FEDERAL,True
1028,NOM-010-SCFI-1994,BASCULA,TORTILLERIA LA COMERCIAL Y/O JIMENEZ ALCAIDE MOISES GONZALO,TORTILLERIA,DISTRITO FEDERAL,True
1029,NOM-008-SCFI-2002,BASCULA,TORTILLERIA  VIOLETA,TORTILLERIA,DISTRITO FEDERAL,True
1030,NOM-010-SCFI-1994,BASCULA,TORTILLERIA  VIOLETA,TORTILLERIA,DISTRITO FEDERAL,True
1031,NOM-051-SCFI/SSA1-2010,ATUN,TIENDAS SORIANA  S.A.DE C.V.,TIENDA DEPARTAMENTAL,DISTRITO FEDERAL,True
1032,NOM-084-SCFI-1994,ATUN,TIENDAS SORIANA  S.A.DE C.V.,TIENDA DEPARTAMENTAL,DISTRITO FEDERAL,True
1033,NOM-008-SCFI-2002,BASCULA,POLLERIA  SANCHEZ     VELINO RAMIREZ SANCHEZ,POLLERIA,DISTRITO FEDERAL,True
1034,NOM-010-SCFI-1994,BASCULA,POLLERIA  SANCHEZ     VELINO RAMIREZ SANCHEZ,POLLERIA,DISTRITO FEDERAL,True
1035,NOM-084-SCFI-1994,ATUN,TIENDAS EXTRA  S.A. DE C.V.,ABARROTES,DISTRITO FEDERAL,True
1036,NOM-084-SCFI-1994,ATUN,CADENACOMERCIAL OXXO  S.A. DE C.V.,ABARROTES,DISTRITO FEDERAL,True
1037,NOM-084-SCFI-1994,ATUN,NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V. ( SUPERAMA ),TIENDA DE AUTOSERVICIO,DISTRITO FEDERAL,True
1038,NOM-084-SCFI-1994,ATUN,TIENDAS CHEDRAUI  S.A. DE C.V. (SUC. PERALVILLO REFORMA),TIENDA DE AUTOSERVICIO,DISTRITO FEDERAL,True
1039,NOM-084-SCFI-1994,ATUN,NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V.,TIENDA DE AUTOSERVICIO,DISTRITO FEDERAL,True
1040,NOM-084-SCFI-1994,ATUN,TIENDAS SORIANA  S.A. DE C.V.,TIENDA DE AUTOSERVICIO,DISTRITO FEDERAL,True
1043,NOM-008-SCFI-2002,BASCULA,CARNICERIA Y TOCINERIA S/N,CARNICERIA,DISTRITO FEDERAL,True
1044,NOM-010-SCFI-1994,BASCULA,CARNICERIA Y TOCINERIA S/N,CARNICERIA,DISTRITO FEDERAL,True
1047,NOM-008-SCFI-2002,BASCULA,POLLERIA SIN NOMBRE Y/O EDUARDO OCAMPO MARTINEZ,POLLERIA,DISTRITO FEDERAL,True
1048,NOM-010-SCFI-1994,BASCULA,POLLERIA SIN NOMBRE Y/O EDUARDO OCAMPO MARTINEZ,POLLERIA,DISTRITO FEDERAL,True
1055,NOM-008-SCFI-2002,BASCULA,ABARROTES  SIN NOMBRE  Y/O  MARIA ANTONIETA LOPEZ GONZALEZ,ABARROTES,DISTRITO FEDERAL,True
1056,NOM-010-SCFI-1994,BASCULA,ABARROTES  SIN NOMBRE  Y/O  MARIA ANTONIETA LOPEZ GONZALEZ,ABARROTES,DISTRITO FEDERAL,True
1057,NOM-008-SCFI-2002,BASCULA,ABARROTES  SIN  NOMBRE    SALVADOR  PAEZ  DIAZ,ABARROTES,DISTRITO FEDERAL,True
1058,NOM-010-SCFI-1994,BASCULA,ABARROTES  SIN  NOMBRE    SALVADOR  PAEZ  DIAZ,ABARROTES,DISTRITO FEDERAL,True
1059,NOM-008-SCFI-2002,BASCULA,ABARROTES LALOS  Y/O IRMA CABAÑAS MOTA,ABARROTES,DISTRITO FEDERAL,True
1060,NOM-010-SCFI-1994,BASCULA,ABARROTES LALOS  Y/O IRMA CABAÑAS MOTA,ABARROTES,DISTRITO FEDERAL,True
1061,NOM-008-SCFI-2002,BASCULA,ABARROTES MARIANITA,ABARROTES,DISTRITO FEDERAL,True
1062,NOM-010-SCFI-1994,BASCULA,ABARROTES MARIANITA,ABARROTES,DISTRITO FEDERAL,True
1063,NOM-008-SCFI-2002,BASCULA,SUPER LACTEOS DEL BAJIO,ABARROTES,DISTRITO FEDERAL,True
1064,NOM-010-SCFI-1994,BASCULA,SUPER LACTEOS DEL BAJIO,ABARROTES,DISTRITO FEDERAL,True
1065,NOM-008-SCFI-2002,BASCULA,COMERCIAL ABARROTERA EL LINCE  S.A. DE C.V.,ABARROTES,DISTRITO FEDERAL,True
1066,NOM-010-SCFI-1994,BASCULA,COMERCIAL ABARROTERA EL LINCE  S.A. DE C.V.,ABARROTES,DISTRITO FEDERAL,True
1067,NOM-008-SCFI-2002,BASCULA,MISCELANEA  MARY,ABARROTES,DISTRITO FEDERAL,True
1068,NOM-010-SCFI-1994,BASCULA,MISCELANEA  MARY,ABARROTES,DISTRITO FEDERAL,True
1069,NOM-008-SCFI-2002,BASCULA,ABARROTES  LUPITA,ABARROTES,DISTRITO FEDERAL,True
1070,NOM-010-SCFI-1994,BASCULA,ABARROTES  LUPITA,ABARROTES,DISTRITO FEDERAL,True
1071,NOM-008-SCFI-2002,BASCULA,ABARROTES NAR,ABARROTES,DISTRITO FEDERAL,True
1072,NOM-010-SCFI-1994,BASCULA,ABARROTES NAR,ABARROTES,DISTRITO FEDERAL,True
1073,NOM-008-SCFI-2002,BASCULA,ABARROTES SIN NOMBRE Y/O SAUL LOPEZ QUINTANA,ABARROTES,DISTRITO FEDERAL,True
1074,NOM-010-SCFI-1994,BASCULA,ABARROTES SIN NOMBRE Y/O SAUL LOPEZ QUINTANA,ABARROTES,DISTRITO FEDERAL,True
1075,NOM-008-SCFI-2002,BASCULA,ABARROTES SIN NOMBRE Y/O CUAUHTEMOC DE JESUS HERNANDEZ,ABARROTES,DISTRITO FEDERAL,True
1076,NOM-010-SCFI-1994,BASCULA,ABARROTES SIN NOMBRE Y/O CUAUHTEMOC DE JESUS HERNANDEZ,ABARROTES,DISTRITO FEDERAL,True
1077,NOM-008-SCFI-2002,BASCULA,RENATO  JORGE SCHIAFFINO MEJIA,SIN GIRO ESPECIFICO,DISTRITO FEDERAL,True
1078,NOM-010-SCFI-1994,BASCULA,RENATO  JORGE SCHIAFFINO MEJIA,SIN GIRO ESPECIFICO,DISTRITO FEDERAL,True
